"","id","senator_party","condition","pid7","pre_sexism_1","pre_sexism_2","pre_sexism_3","pre_sexism_4","pre_favorability","pre_vote","gender","age","newsinterest","post_favorability","post_vote","punishment_1","punishment_2","punishment_3","punishment_4","punishment_5","post_sexism_1","post_sexism_2","post_sexism_3","post_sexism_4","condition2","pid3","needmoreevidence","apology","longtimeago","resign","elitecues","needmoreevidence_reverse","longtimeago_reverse","meanpunishment","sameparty","pre_sexism","post_sexism","change_favorability","change_vote","change_sexism","perchange_favorability","perchange_vote","perchange_sexism"
"1",1,"Democrat",2,"Strong Republican",5,1,4,5,5,3,"Man","25-34","Most of the time",5,7,"Neither disagree nor agree","Agree somewhat","Disagree somewhat","Disagree somewhat","Disagree strongly",1,1,5,1,"Assault","Republican",3,4,2,2,1,3,4,3.25,"Opposite party",3.75,2,0,4,-1.75,0,100,-36.8421052631579
"2",2,"Republican",2,"Not very strong Democrat",2,4,3,2,5,3,"Man","18-24","Don't know",2,2,"Disagree somewhat","Neither disagree nor agree","Disagree somewhat","Agree somewhat","Neither disagree nor agree",3,4,3,3,"Assault","Democrat",2,3,2,4,3,4,4,3.75,"Opposite party",2.75,3.25,-3,-1,0.5,-50,-25,13.3333333333333
"3",3,"Republican",2,"Strong Democrat",1,3,3,1,5,2,"Man","18-24","Some of the time",2,2,"Disagree strongly","Agree strongly","Disagree strongly","Agree strongly","Neither disagree nor agree",1,1,4,1,"Assault","Democrat",1,5,1,5,3,5,5,5,"Opposite party",2,1.75,-3,0,-0.25,-50,0,-8.33333333333333
"4",4,"Republican",1,"Independent",4,3,3,3,7,6,"Man","18-24","Most of the time",5,7,"Neither disagree nor agree","Agree somewhat","Neither disagree nor agree","Disagree somewhat","Neither disagree nor agree",4,4,5,3,"Jokes","Independent",3,4,3,2,3,3,3,3,"Independents/Not sures",3.25,4,-2,1,0.75,-25,14.2857142857143,17.6470588235294
"5",5,"Democrat",3,"Strong Democrat",1,1,1,1,6,8,"Woman","25-34","Most of the time",7,8,"","","","","",1,1,1,1,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",1,1,1,0,0,14.2857142857143,0,0
"6",6,"Republican",2,"Lean Republican",3,2,3,4,7,4,"Woman","25-34","Most of the time",6,4,"Disagree somewhat","Neither disagree nor agree","Disagree strongly","Disagree somewhat","Agree somewhat",2,3,3,4,"Assault","Republican",2,3,1,2,4,4,5,3.5,"Same party",3,3,-1,0,0,-12.5,0,0
"7",7,"Republican",3,"Strong Democrat",3,3,2,4,7,6,"Man","25-34","Some of the time",6,8,"","","","","",3,4,2,4,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",3,3.25,-1,2,0.25,-12.5,28.5714285714286,6.25
"8",8,"Republican",3,"Not very strong Republican",5,5,1,5,10,10,"Woman","25-34","Most of the time",10,10,"","","","","",5,5,1,5,"Control","Republican",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",4,4,0,0,0,0,0,0
"9",9,"Democrat",2,"Not very strong Democrat",1,1,1,1,10,10,"Man","25-34","Most of the time",5,6,"Agree somewhat","Disagree somewhat","Neither disagree nor agree","Disagree somewhat","Neither disagree nor agree",1,1,1,1,"Assault","Democrat",4,2,3,2,3,2,3,2.25,"Same party",1,1,-5,-4,0,-45.4545454545455,-36.3636363636364,0
"10",10,"Democrat",3,"Strong Democrat",1,2,2,1,8,9,"Man","18-24","Most of the time",7,7,"","","","","",1,1,2,1,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",1.5,1.25,-1,-2,-0.25,-11.1111111111111,-20,-10
"11",11,"Republican",3,"Strong Democrat",1,1,5,1,5,5,"Man","25-34","Most of the time",5,5,"","","","","",1,1,5,1,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",2,2,0,0,0,0,0,0
"12",12,"Republican",1,"Not very strong Democrat",4,5,4,4,3,2,"Man","25-34","Only now and then",1,1,"Disagree somewhat","Agree somewhat","Agree somewhat","Agree strongly","Disagree somewhat",4,4,4,4,"Jokes","Democrat",2,4,4,5,2,4,2,3.75,"Opposite party",4.25,4,-2,-1,-0.25,-50,-33.3333333333333,-4.76190476190476
"13",13,"Republican",1,"Independent",4,2,3,3,6,6,"Man","25-34","Most of the time",6,6,"Neither disagree nor agree","Agree somewhat","Neither disagree nor agree","Neither disagree nor agree","Agree somewhat",4,4,3,4,"Jokes","Independent",3,4,3,3,4,3,3,3.25,"Independents/Not sures",3,3.75,0,0,0.75,0,0,18.75
"14",14,"Republican",1,"Not very strong Republican",4,4,4,4,8,8,"Man","35-44","Most of the time",9,9,"Agree strongly","Disagree strongly","Agree strongly","Disagree strongly","Neither disagree nor agree",4,4,4,4,"Jokes","Republican",5,1,5,1,3,1,1,1,"Same party",4,4,1,1,0,11.1111111111111,11.1111111111111,0
"15",15,"Republican",3,"Lean Republican",2,2,2,4,8,6,"Man","25-34","Only now and then",8,6,"","","","","",2,2,4,4,"Control","Republican",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",2.5,3,0,0,0.5,0,0,14.2857142857143
"16",16,"Democrat",3,"Strong Democrat",2,3,4,3,5,6,"Man","65 or over","Some of the time",4,6,"","","","","",2,4,3,3,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",3,3,-1,0,0,-16.6666666666667,0,0
"17",17,"Republican",3,"Independent",2,4,1,2,10,10,"Man","25-34","Some of the time",10,10,"","","","","",2,4,1,2,"Control","Independent",NA,NA,NA,NA,NA,NA,NA,NA,"Independents/Not sures",2.25,2.25,0,0,0,0,0,0
"18",18,"Democrat",2,"Strong Democrat",1,1,5,1,10,10,"Man","18-24","Some of the time",1,2,"Disagree strongly","Agree strongly","Disagree strongly","Agree strongly","Disagree strongly",1,1,5,1,"Assault","Democrat",1,5,1,5,1,5,5,5,"Same party",2,2,-9,-8,0,-81.8181818181818,-72.7272727272727,0
"19",19,"Democrat",3,"Not very strong Republican",2,2,4,2,8,2,"Man","35-44","Some of the time",7,3,"","","","","",2,2,4,2,"Control","Republican",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",2.5,2.5,-1,1,0,-11.1111111111111,33.3333333333333,0
"20",20,"Democrat",2,"Strong Democrat",4,2,3,2,5,3,"Man","25-34","Some of the time",4,1,"Disagree somewhat","Agree somewhat","Agree strongly","Disagree strongly","Neither disagree nor agree",1,1,4,2,"Assault","Democrat",2,4,5,1,3,4,1,2.5,"Same party",2.75,2,-1,-2,-0.75,-16.6666666666667,-50,-20
"21",21,"Democrat",3,"Not very strong Republican",4,5,5,2,7,6,"Man","25-34","Most of the time",7,6,"","","","","",4,5,5,2,"Control","Republican",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",4,4,0,0,0,0,0,0
"22",22,"Republican",3,"Independent",1,2,1,4,7,7,"Woman","25-34","Some of the time",8,8,"","","","","",1,2,1,4,"Control","Independent",NA,NA,NA,NA,NA,NA,NA,NA,"Independents/Not sures",2,2,1,1,0,12.5,12.5,0
"23",23,"Republican",3,"Independent",4,3,2,3,5,7,"Man","25-34","Most of the time",6,6,"","","","","",4,3,2,3,"Control","Independent",NA,NA,NA,NA,NA,NA,NA,NA,"Independents/Not sures",3,3,1,-1,0,16.6666666666667,-12.5,0
"24",24,"Democrat",3,"Lean Republican",4,4,2,4,6,7,"Woman","25-34","Only now and then",7,7,"","","","","",4,4,2,4,"Control","Republican",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",3.5,3.5,1,0,0,14.2857142857143,0,0
"25",25,"Democrat",2,"Strong Democrat",1,1,1,1,7,5,"Woman","25-34","Most of the time",0,0,"Disagree somewhat","Neither disagree nor agree","Disagree strongly","Neither disagree nor agree","Agree strongly",1,1,1,1,"Assault","Democrat",2,3,1,3,5,4,5,3.75,"Same party",1,1,-7,-5,0,-87.5,-83.3333333333333,0
"26",26,"Democrat",1,"Independent",4,4,1,4,9,8,"Woman","45-54","Only now and then",7,7,"Agree strongly","Disagree somewhat","Disagree somewhat","Disagree somewhat","Disagree somewhat",4,4,1,4,"Jokes","Independent",5,2,2,2,2,1,4,2.25,"Independents/Not sures",3.25,3.25,-2,-1,0,-20,-11.1111111111111,0
"27",27,"Republican",2,"Strong Democrat",1,1,3,1,4,0,"Man","35-44","Most of the time",0,0,"Disagree strongly","Agree strongly","Disagree strongly","Agree strongly","Neither disagree nor agree",1,1,5,1,"Assault","Democrat",1,5,1,5,3,5,5,5,"Opposite party",1.5,2,-4,0,0.5,-80,0,20
"28",28,"Republican",2,"Lean Democrat",3,4,1,2,9,7,"Man","18-24","Some of the time",1,0,"Disagree strongly","Agree strongly","Neither disagree nor agree","Disagree somewhat","Disagree somewhat",3,4,1,2,"Assault","Democrat",1,5,3,2,2,5,3,3.75,"Opposite party",2.5,2.5,-8,-7,0,-80,-87.5,0
"29",29,"Democrat",3,"Strong Democrat",1,1,1,1,8,8,"Man","25-34","Most of the time",8,8,"","","","","",1,1,1,1,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",1,1,0,0,0,0,0,0
"30",30,"Republican",2,"Independent",2,2,2,2,5,5,"Man","25-34","Some of the time",5,5,"Agree somewhat","Disagree strongly","Neither disagree nor agree","Disagree strongly","Neither disagree nor agree",2,2,2,2,"Assault","Independent",4,1,3,1,3,2,3,1.75,"Independents/Not sures",2,2,0,0,0,0,0,0
"31",31,"Democrat",3,"Lean Democrat",1,1,1,1,8,8,"Woman","25-34","Most of the time",8,8,"","","","","",1,1,1,1,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",1,1,0,0,0,0,0,0
"32",32,"Democrat",1,"Independent",3,4,3,3,6,5,"Woman","25-34","Some of the time",4,3,"Neither disagree nor agree","Neither disagree nor agree","Disagree somewhat","Neither disagree nor agree","Neither disagree nor agree",3,3,3,4,"Jokes","Independent",3,3,2,3,3,3,4,3.25,"Independents/Not sures",3.25,3.25,-2,-2,0,-28.5714285714286,-33.3333333333333,0
"33",33,"Republican",2,"Not very strong Democrat",4,3,2,3,7,4,"Man","18-24","Some of the time",0,0,"Disagree somewhat","Agree strongly","Disagree strongly","Agree somewhat","Disagree strongly",4,3,2,3,"Assault","Democrat",2,5,1,4,1,4,5,4.5,"Opposite party",3,3,-7,-4,0,-87.5,-80,0
"34",34,"Democrat",3,"Strong Democrat",1,1,3,2,8,9,"Woman","55-64","Most of the time",8,9,"","","","","",1,1,3,2,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",1.75,1.75,0,0,0,0,0,0
"35",35,"Democrat",3,"Strong Democrat",2,2,3,2,10,10,"Woman","25-34","Only now and then",10,10,"","","","","",3,3,4,2,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",2.25,3,0,0,0.75,0,0,23.0769230769231
"36",36,"Democrat",1,"Strong Republican",2,1,1,1,3,0,"Man","25-34","Most of the time",0,0,"Neither disagree nor agree","Agree strongly","Agree strongly","Agree strongly","Agree somewhat",1,2,1,1,"Jokes","Republican",3,5,5,5,4,3,1,3.5,"Opposite party",1.25,1.25,-3,0,0,-75,0,0
"37",37,"Republican",3,"Lean Republican",4,4,2,4,7,7,"Man","35-44","Most of the time",5,3,"","","","","",4,4,2,4,"Control","Republican",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",3.5,3.5,-2,-4,0,-25,-50,0
"38",38,"Democrat",2,"Independent",4,4,3,4,8,6,"Woman","45-54","Only now and then",4,3,"Agree somewhat","Neither disagree nor agree","Disagree somewhat","Neither disagree nor agree","Disagree somewhat",3,3,3,4,"Assault","Independent",4,3,2,3,2,2,4,3,"Independents/Not sures",3.75,3.25,-4,-3,-0.5,-44.4444444444444,-42.8571428571429,-10.5263157894737
"39",39,"Democrat",1,"Independent",1,1,2,1,8,5,"Man","25-34","Most of the time",4,3,"Disagree somewhat","Disagree somewhat","Disagree somewhat","Disagree somewhat","Disagree somewhat",1,1,2,1,"Jokes","Independent",2,2,2,2,2,4,4,3,"Independents/Not sures",1.25,1.25,-4,-2,0,-44.4444444444444,-33.3333333333333,0
"40",40,"Democrat",3,"Independent",2,2,2,3,5,0,"Man","35-44","Most of the time",5,0,"","","","","",2,2,2,3,"Control","Independent",NA,NA,NA,NA,NA,NA,NA,NA,"Independents/Not sures",2.25,2.25,0,0,0,0,0,0
"41",41,"Republican",3,"Strong Republican",4,5,4,5,9,9,"Man","25-34","Most of the time",8,9,"","","","","",4,4,4,5,"Control","Republican",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",4.5,4.25,-1,0,-0.25,-10,0,-4.54545454545455
"42",42,"Republican",3,"Lean Democrat",1,1,5,1,10,9,"Man","18-24","Some of the time",10,10,"","","","","",1,1,5,1,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",2,2,0,1,0,0,10,0
"43",43,"Republican",3,"Not very strong Democrat",2,3,1,2,8,4,"Woman","25-34","Some of the time",8,2,"","","","","",2,3,1,2,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",2,2,0,-2,0,0,-40,0
"44",44,"Republican",3,"Strong Democrat",2,1,1,1,3,1,"Man","45-54","Most of the time",3,1,"","","","","",2,1,1,1,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",1.25,1.25,0,0,0,0,0,0
"45",45,"Republican",3,"Not very strong Democrat",1,1,5,1,5,3,"Man","35-44","Most of the time",5,3,"","","","","",1,1,5,1,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",2,2,0,0,0,0,0,0
"46",46,"Republican",3,"Strong Democrat",1,1,5,1,10,10,"Woman","18-24","Most of the time",10,10,"","","","","",1,1,5,1,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",2,2,0,0,0,0,0,0
"47",47,"Republican",1,"Strong Democrat",1,1,1,1,7,4,"Woman","35-44","Most of the time",5,4,"Agree somewhat","Disagree somewhat","Agree somewhat","Disagree somewhat","Disagree somewhat",1,1,5,1,"Jokes","Democrat",4,2,4,2,2,2,2,2,"Opposite party",1,2,-2,0,1,-25,0,50
"48",48,"Republican",3,"Strong Democrat",4,4,2,4,8,9,"Man","25-34","Some of the time",9,8,"","","","","",4,4,2,3,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",3.5,3.25,1,-1,-0.25,11.1111111111111,-10,-5.55555555555556
"49",49,"Republican",3,"Not very strong Democrat",5,4,4,3,2,5,"Man","35-44","Some of the time",3,6,"","","","","",5,3,4,4,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",4,4,1,1,0,33.3333333333333,16.6666666666667,0
"50",50,"Republican",1,"Independent",1,4,4,2,9,9,"Man","25-34","Only now and then",8,7,"Agree strongly","Disagree strongly","Agree somewhat","Disagree somewhat","Disagree somewhat",4,4,4,4,"Jokes","Independent",5,1,4,2,2,1,2,1.5,"Independents/Not sures",2.75,4,-1,-2,1.25,-10,-20,33.3333333333333
"51",51,"Democrat",2,"Lean Democrat",3,2,4,1,7,6,"Woman","25-34","Some of the time",4,5,"Disagree somewhat","Neither disagree nor agree","Disagree somewhat","Disagree somewhat","Neither disagree nor agree",2,2,4,2,"Assault","Democrat",2,3,2,2,3,4,4,3.25,"Same party",2.5,2.5,-3,-1,0,-37.5,-14.2857142857143,0
"52",52,"Democrat",2,"Independent",1,1,1,1,9,9,"Woman","45-54","Some of the time",2,0,"Disagree strongly","Neither disagree nor agree","Agree strongly","Neither disagree nor agree","Agree strongly",1,1,1,1,"Assault","Independent",1,3,5,3,5,5,1,3,"Independents/Not sures",1,1,-7,-9,0,-70,-90,0
"53",53,"Democrat",3,"Independent",3,4,2,3,10,10,"Woman","25-34","Some of the time",10,10,"","","","","",3,4,2,3,"Control","Independent",NA,NA,NA,NA,NA,NA,NA,NA,"Independents/Not sures",3,3,0,0,0,0,0,0
"54",54,"Democrat",2,"Strong Democrat",1,1,1,1,7,7,"Woman","25-34","Some of the time",2,2,"Disagree somewhat","Agree strongly","Disagree strongly","Agree somewhat","Disagree strongly",1,1,1,1,"Assault","Democrat",2,5,1,4,1,4,5,4.5,"Same party",1,1,-5,-5,0,-62.5,-62.5,0
"55",55,"Republican",3,"Strong Democrat",1,2,4,1,8,3,"Woman","25-34","Only now and then",3,8,"","","","","",1,2,4,2,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",2,2.25,-5,5,0.25,-55.5555555555556,125,8.33333333333333
