,theolscale,goodevil,endtimes2,cabal,paranormscale,ednumeric,female,black,hispanic,libdum,consdum,demdum,gopdum,polintnum,psc,trustind1,inteff,exteffic,RWA,imprelnum
1,2,3,1,2,3,5,0,0,0,0,1,0,1,4,-0.292626685,2,3.5,2,1,3
2,3,3,3,4,4.5,3,1,1,0,0,0,1,0,4,-1.361168247,1,4,3,1,4
3,3,4,2.5,4,2.5,4,1,0,0,0,0,1,0,4,-1.448749007,2,2.5,4,1,4
4,3,3,3,3,3,2,0,0,0,0,0,0,0,4,-0.702566383,1,2,4,1,4
5,1,4,1,3,2,6,0,0,0,0,0,0,0,4,1.040470149,2,4,2.5,0,2
6,2,3,1,3,3,5,0,0,0,1,0,1,0,4,1.040470149,2,3.5,3,0.5,1
7,1,2,1,4,2,5,0,0,0,0,1,0,0,4,1.091198807,2,4.5,4.5,1,3
8,2.5,2,2,5,1.5,5,1,0,0,0,1,0,1,4,0.773461439,1,4.5,1.5,1,4
9,2,3,1.5,2,3,5,1,0,0,0,1,1,0,3,-0.64334548,2,3,4,0.5,3
10,3,4,3,4,3.5,6,0,0,0,0,1,0,0,4,0.263797858,1,2,1.5,1,3
11,3,5,2,5,2,4,1,0,0,0,1,0,1,4,0.515744156,1,3,1,0,4
12,1,3,1,4,3,3,1,0,0,0,1,0,1,2,-0.008777846,2,1.5,2,0.5,1
13,3,5,3,1,5,3,1,0,0,0,0,1,0,4,-0.89153298,1,4.5,1,1,4
14,3,3,2,4,4,3,0,0,0,0,1,0,1,4,0.782752865,1,5,2,0,4
15,2,2,2,4,2,5,0,0,0,0,1,0,1,4,0.959251824,2,4.5,3,0,3
16,3,4,2,4,3,5,0,0,0,1,0,1,0,2,0.378793052,1,3.5,2.5,0,3
17,1,2,1,3,1.5,3,0,0,0,1,0,1,0,4,0.187022782,2,3.5,2.5,0,1
18,3,1,1,1,3,3,0,0,0,1,0,1,0,3,0.737404779,2,3,4,0.5,3
19,3,2,2.5,4,3,5,1,0,0,0,1,0,1,4,0.81255808,1,3,1.5,0.5,4
20,3,4,2.5,4,4.5,6,1,0,0,0,1,1,0,4,-1.159578434,2,4.5,3.5,1,3
21,1,1,1,4,1,4,0,0,0,0,0,0,0,3,0.68667612,2,4.5,1.5,0,1
22,3,4,3,5,2,3,0,0,0,0,1,0,1,4,0.68667612,1,4.5,1.5,1,4
23,2,3,1,4,4.5,2,1,0,0,1,0,1,0,2,-1.861656019,1,2.5,1,1,2
24,3,3,2,2,1.5,5,0,0,0,0,1,0,1,4,0.287832087,1,4,3,1,3
25,3,3,2,4,3,3,0,0,0,0,1,0,1,4,0.554840797,2,3.5,2,0.5,3
26,3,4,1.5,NA,3.5,2,1,0,0,0,1,0,1,2,-0.303608414,1,1,1.5,1,4
27,1.5,2,1.5,5,3,4,0,0,0,1,0,1,0,4,0.298817773,1,4,3.5,0.5,1
28,3,3,2,4,3.5,6,0,0,0,0,1,0,1,4,0.434525831,2,3.5,2.5,0,4
29,3,2,2,5,5,4,0,0,0,0,0,0,0,4,-0.559159842,2,3,2.5,0.5,4
30,3,3,2,4,4.5,6,0,0,0,0,1,0,1,4,0.944505063,1,4,2,0.5,2
31,3,4,2.5,3,4,2,0,0,0,0,0,0,1,3,-1.861656019,1,2.5,2,1,3
32,1,2,1.5,3,1.5,3,1,0,0,1,0,1,0,4,1.091198807,1,4.5,2,1,1
33,3,4,1.5,5,4,6,0,0,0,0,1,0,1,4,1.091198807,1,5,1,0,3
34,1.5,1,1,3,4,3,0,0,0,1,0,1,0,4,-0.381097948,1,4,1,0.5,1
35,3,1,2,5,1,3,0,1,0,1,0,1,0,4,0.297574727,1,4,2,0.5,4
36,1,1,1,4,1.5,2,0,0,1,1,0,1,0,3,0.485254489,2,4,2,0,1
37,2,2,1,4,2,5,0,0,0,1,0,1,0,4,0.153565802,2,4.5,2,0.5,2
38,2,2,1,4,4.5,4,1,0,0,1,0,1,0,4,0.177371421,1,4.5,3,0,1
39,1,4,1,4,1.5,5,0,0,0,1,0,1,0,4,1.091198807,1,4.5,2,0,1
40,2,2,2,2,3,3,1,0,0,0,0,0,0,3,-0.84280469,1,2.5,1.5,0.5,4
